Date,Description,Debit,Credit,Category,FCategory
"May 06, 2020",Prime Video*V40EV9GF3 888-802-3080 WA,14.99,,Merchandise,ENTERTAINMENT
"May 06, 2020",DAISO LA06 HACIENDA HGHT HACIENDA HEIGCA,4.93,,Merchandise,GROCERY
"May 05, 2020",SAMSCLUB #4735 LA HABRA CA,78.36,,Merchandise,GROCERY
"May 05, 2020",COSTCO WHSE #0777 LA HABRA CA,135.56,,Merchandise,TRANSPORTATION
"May 05, 2020",LH TRADING 866-647-9194 GA,60.2,,Merchandise,GROCERY
"Apr 26, 2020",WALMART.COM 800-966-6546 AR,8.63,,Merchandise,GROCERY
"Apr 18, 2020",SAMSCLUB #4735 LA HABRA CA,181.73,,Merchandise,GROCERY
"Apr 17, 2020",BESPOKE POST 888-565-6762 NY,35.48,,Merchandise,ENTERTAINMENT
"Apr 16, 2020",AMZN Mktp US*042F39R43 Amzn.com/billWA,192.63,,Merchandise,ENTERTAINMENT
"Apr 13, 2020",AMZN Mktp US*DW9OV8WV3 Amzn.com/billWA,17.51,,Merchandise,ENTERTAINMENT
"Apr 06, 2020",Prime Video*ZG2M69CJ3 888-802-3080 WA,14.99,,Merchandise,ENTERTAINMENT
"Apr 06, 2020",AMZN Mktp US*JU6PW5PC3 Amzn.com/billWA,16.29,,Merchandise,ENTERTAINMENT
"Apr 06, 2020",AMZN Mktp US*7Z0NC3XE3 Amzn.com/billWA,27.32,,Merchandise,ENTERTAINMENT
"Apr 05, 2020",WM SUPERCENTER #2251 CITY OF INDUSCA,43.57,,Merchandise,GROCERY
"Mar 25, 2020",AMZN Mktp US*LA9HX8VR3 Amzn.com/billWA,11.51,,Merchandise,ENTERTAINMENT
"Mar 23, 2020",AMZN Mktp US*3T4T92533 Amzn.com/billWA,66.75,,Merchandise,ENTERTAINMENT
"Mar 16, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,4.92,,Merchandise,TRANSPORTATION
"Mar 15, 2020",LOWES #02270* ONTARIO CA,25.84,,Merchandise,GROCERY
"Mar 08, 2020",BESPOKE POST 888-565-6762 NY,53.23,,Merchandise,ENTERTAINMENT
"Mar 06, 2020",ULTA #775 CITY OF INDUSCA,,-45.99,Merchandise,GROCERY
"Mar 06, 2020",ULTA #775 CITY OF INDUSCA,45.99,,Merchandise,GROCERY
"Mar 06, 2020",Prime Video*RK1OK12L3 888-802-3080 WA,14.99,,Merchandise,ENTERTAINMENT
"Mar 04, 2020",GOODWILL STORE #0010 HACIENDA HEIGCA,9.99,,Merchandise,GROCERY
"Mar 01, 2020",SUNDRIES - ENCORE LAS VEGAS NV,6.45,,Merchandise,TRAVEL
"Feb 25, 2020",DAISO LA06 HACIENDA HGHT HACIENDA HEIGCA,8.21,,Merchandise,GROCERY
"Feb 22, 2020",SAMSCLUB #4735 LA HABRA CA,58.01,,Merchandise,GROCERY
"Feb 21, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,10.38,,Merchandise,TRANSPORTATION
"Feb 14, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,32.59,,Merchandise,TRANSPORTATION
"Feb 08, 2020",COSTCO WHSE #0777 LA HABRA CA,9.18,,Merchandise,TRANSPORTATION
"Feb 08, 2020",VONS #3086 HACIENDA HGHTCA,15.52,,Merchandise,GROCERY
"Feb 06, 2020",BESPOKE POST 888-565-6762 NY,53.23,,Merchandise,ENTERTAINMENT
"Feb 06, 2020",Prime Video*Q66L177A3 888-802-3080 WA,14.99,,Merchandise,ENTERTAINMENT
"Feb 01, 2020",SAMSCLUB #4735 LA HABRA CA,140.35,,Merchandise,GROCERY
"Jan 26, 2020",WAL-MART #2251 SE2 CITY OF INDUSCA,18.21,,Merchandise,GROCERY
"Jan 21, 2020",AMZN Mktp US Amzn.com/billWA,,-350.39,Merchandise,ENTERTAINMENT
"Jan 19, 2020",COSTCO WHSE #0777 LA HABRA CA,67.68,,Merchandise,TRANSPORTATION
"Jan 15, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,4.92,,Merchandise,TRANSPORTATION
"Jan 11, 2020",SAMSCLUB #4735 LA HABRA CA,44.11,,Merchandise,GROCERY
"Jan 06, 2020",AMZN Mktp US*VV5QF0NX3 Amzn.com/billWA,350.39,,Merchandise,ENTERTAINMENT
"Jan 06, 2020",Prime Video*6M8503IE3 888-802-3080 WA,14.99,,Merchandise,ENTERTAINMENT
"Jul 07, 2020",GOLDEN NOODLE & GRILL ROWLAND HEIGHCA,28.2,,Restaurants,RESTAURANT
"Jun 26, 2020",CHICK-FIL-A #03272 626-581-9788 CA,38.57,,Restaurants,RESTAURANT
"Jun 03, 2020",3709 EL POLLO LOCO HACIENDA HEIGCA,21.9,,Restaurants,RESTAURANT
"May 30, 2020",MYUNGRANG HOT DOG ROWLAND HGHTSCA,30.58,,Restaurants,RESTAURANT
"Mar 11, 2020",CHICK-FIL-A #03272 626-581-9788 CA,9.63,,Restaurants,RESTAURANT
"Jan 19, 2020",CHILI'S PUENTE HILLS CITY OF INDUSCA,27.51,,Restaurants,RESTAURANT
"Jan 17, 2020",TST* FIRE WINGS ROWLAND HCITY OF INDUSCA,13.13,,Restaurants,RESTAURANT
"Jan 17, 2020",MAYAN TACOS INC WALNUT CA,12.23,,Restaurants,RESTAURANT
"Jan 14, 2020",T-SWIRL CREPE CITY OF INDUSCA,8.75,,Restaurants,RESTAURANT
"Jan 13, 2020",CHICK-FIL-A #03272 626-581-9788 CA,9.19,,Restaurants,RESTAURANT
"Jan 11, 2020",IHOP 705 LA MIRADA CA,41.75,,Restaurants,RESTAURANT
"Jan 11, 2020",SUSHI YUEN CITY INDUSTRYCA,90.65,,Restaurants,RESTAURANT
"Jan 10, 2020",SUSHI YUEN CITY INDUSTRYCA,31.38,,Restaurants,RESTAURANT
"Jan 10, 2020",NORTHERN CAFE ROWLAND HGHTSCA,31.47,,Restaurants,RESTAURANT
"Jul 01, 2020",VALLEY VISTA SERVICES CITY OF INDUSCA,53.97,,Services,UTILITY
"Jun 30, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services,INSURANCE
"Jun 10, 2020",FTHGROUPINC 626-333-2435 CA,35,,Services,HEALTHCARE
"May 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services,INSURANCE
"Apr 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services,INSURANCE
"Apr 01, 2020",VALLEY VISTA SERVICES CITY OF INDUSCA,50.73,,Services,UTILITY
"Mar 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services,INSURANCE
"Feb 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services,INSURANCE
"Jan 28, 2020",STATE FARM INSURANCE 800-956-6310 IL,102.5,,Services,INSURANCE
"Jan 01, 2020",GOOGLE *GSUITE_avant-c cc@google.comCA,11.8,,Services,UTILITY
"Jun 03, 2020",SMOG PROS TEST ONLY ROWLAND HEIGHCA,58,,Vehicle Services,AUTO
"Jan 11, 2020",KNOTT'S BERRY FARM PARKINBUENA PARK CA,20,,Vehicle Services,ENTERTAINMENT
"Jul 07, 2020",COSTCO WHSE #0679 CITY OF INDUSCA,52.94,,Merchandise,TRANSPORTATION
"Mar 01, 2020",COSTCO WHSE #0777 LA HABRA CA,66.62,,Merchandise,TRANSPORTATION
"Jul 20, 2020",COSTCO GAS #0777 LA HABRA CA,23.48,,Vehicle Services,TRANSPORTATION
"Jul 02, 2020",COSTCO GAS #0777 LA HABRA CA,21.99,,Vehicle Services,TRANSPORTATION
"Jun 11, 2020",COSTCO GAS #0777 LA HABRA CA,26.95,,Vehicle Services,TRANSPORTATION
"May 10, 2020",COSTCO GAS #0777 LA HABRA CA,19.86,,Vehicle Services,TRANSPORTATION
"Mar 01, 2020",COSTCO GAS #0777 LA HABRA CA,36.72,,Vehicle Services,TRANSPORTATION
